티커,BPS,PER,PBR,EPS,DIV,DPS,ticker,sector
012790,9044,20.69,1.54,672,1.08,150,012790,2001/2003/2024/2066/2181
138070,7926,20.73,0.72,275,1.23,70,138070,2001/2004/2024/2068/2183
226330,3505,0.0,4.38,0,0.0,0,226330,2001/2003/2024/2063/2184
333050,0,0.0,0.0,0,0.0,0,333050,2001/2004/2031
366330,0,0.0,0.0,0,0.0,0,366330,2001/2031
056700,3315,10.0,0.99,327,1.53,50,056700,2001/2004/2015/2043/2160/2183
187270,4818,0.0,0.67,0,0.0,0,187270,2001/2004/2015/2043/2160/2182
243840,15448,18.64,2.95,2446,0.61,280,243840,2001/2003/2015/2043/2160/2181/2203/2213
108320,29033,29.03,2.37,2370,1.21,830,108320,2001/2002/2015/2043/2159/2181/2203/2216
222800,6678,0.0,3.45,0,0.69,160,222800,2001/2002/2015/2043/2159/2183
036710,2910,0.0,0.88,0,0.39,10,036710,2001/2004/2015/2043/2160/2183
160980,9725,67.3,2.16,312,1.19,250,160980,2001/2004/2015/2043/2159/2181
356890,2703,37.6,8.18,588,0.0,0,356890,2001/2015/2042/2155/2182
217330,3181,0.0,18.8,0,0.0,0,217330,2001/2003/2012/2184
010280,1095,51.88,1.52,32,0.0,0,010280,2001/2004/2015/2042/2156/2183
208640,205,0.0,8.0,0,0.0,0,208640,2001/2004/2024/2063/2183
222420,869,0.0,2.55,0,0.0,0,222420,2001/2004/2024/2067/2183
037760,2143,28.39,0.82,62,1.7,30,037760,2001/2004/2024/2068/2181
136510,4633,0.0,1.27,0,0.0,0,136510,2001/2004/2024/2070/2182
099320,8775,61.38,6.94,992,0.34,210,099320,2001/2003/2015/2043/2157/2182
049960,11022,18.75,1.66,976,3.28,600,049960,2001/2004/2024/2066/2181
050890,2350,68.0,3.5,121,0.0,0,050890,2001/2003/2015/2043/2157/2183
066790,590,0.0,1.43,0,0.0,0,066790,2001/2004/2015/2041/2152
222080,926,66.5,15.23,212,0.0,0,222080,2001/2002/2024/2070/2183/2203/2213
264660,8019,9.43,1.68,1432,1.11,150,264660,2001/2004/2015/2043/2159/2182
352700,1835,0.0,11.44,0,0.0,0,352700,2001/2024/2058/2184
297090,4781,41.53,6.52,750,0.0,0,297090,2001/2003/2024/2070/2182
115530,222,0.0,3.78,0,0.0,0,115530,2001/2004/2015/2043/2160
225330,2079,18.9,3.0,330,6.81,425,225330,2001/2004/2012/2183
115480,2747,0.0,0.68,0,0.0,0,115480,2001/2004/2024/2074/2182
189330,853,1319.0,41.75,27,0.0,0,189330,2001/2004/2015/2042/2155/2184
096530,5815,126.9,22.39,1026,0.08,100,096530,2001/2002/2024/2066/2181/2203/2217
101240,5336,12.84,1.59,659,2.01,170,101240,2001/2004/2024/2065/2182
060590,3870,0.0,1.52,0,0.0,0,060590,2001/2004/2024/2066/2183
260930,17056,21.33,1.0,797,1.76,300,260930,2001/2004/2024/2065/2181
013990,4106,0.0,0.86,0,0.0,0,013990,2001/2004/2027/2183
123860,5451,0.0,4.79,0,0.38,100,123860,2001/2003/2015/2043/2159/2182
025980,4451,0.0,1.67,0,0.0,0,025980,2001/2002/2183/2203/2215
050320,60,0.0,16.5,0,0.0,0,050320,2001/2004/2015/2042/2156
058220,523,0.0,0.53,0,0.0,0,058220,2001/2004/2015/2043/2157
125210,2317,122.94,5.78,109,0.0,0,125210,2001/2003/2015/2043/2160/2184
052710,20412,912.0,1.65,37,0.0,0,052710,2001/2003/2015/2043/2160/2181
074430,590,0.0,4.19,0,0.0,0,074430,2001/2003/2027/2182
092040,6354,6170.0,4.86,5,0.0,0,092040,2001/2003/2024/2056/2184/2203/2217
083930,8150,9.6,1.61,1364,2.29,300,083930,2001/2004/2024/2070/2181
149950,8719,32.38,1.85,499,0.62,100,149950,2001/2004/2015/2043/2160/2181
036010,7706,0.0,0.88,0,1.03,70,036010,2001/2004/2024/2072/2181
050860,5637,56.66,0.6,60,1.47,50,050860,2001/2004/2024/2070/2183
246720,1291,0.0,4.0,0,0.0,0,246720,2001/2004/2024/2066/2184
067390,7376,0.0,0.89,0,0.0,0,067390,2001/2004/2024/2075/2182
127710,4044,15.03,0.54,146,0.0,0,127710,2001/2004/2015/2042/2154/2183
154030,1562,0.0,3.59,0,0.0,0,154030,2001/2004/2184
227610,1707,0.0,1.11,0,0.0,0,227610,2001/2004/2024/2065/2183
143160,14218,144.4,1.88,185,0.94,250,143160,2001/2003/2015/2043/2157/2181
054800,20285,0.0,0.63,0,1.56,200,054800,2001/2004/2012/2183
332370,4385,11.6,1.8,680,0.0,0,332370,2001/2004/2015/2043/2158/2183
339950,0,0.0,0.0,0,0.0,0,339950,2001/2004/2012/2183
099190,14454,14.13,1.68,1723,0.82,200,099190,2001/2003/2024/2074/2181
289010,5793,18.73,1.35,417,1.28,100,289010,2001/2004/2024/2063/2181
214430,9715,834.5,2.23,26,0.32,70,214430,2001/2004/2024/2072/2181
040910,8394,22.9,1.91,701,0.93,150,040910,2001/2003/2015/2043/2159/2181
068940,475,0.0,8.61,0,0.0,0,068940,2001/2004/2015/2043/2158/2183
052860,3126,12.98,1.41,339,2.27,100,052860,2001/2004/2015/2043/2159/2182
069920,1949,0.0,1.9,0,0.0,0,069920,2001/2004/2027/2183
038880,236,224.2,6.65,7,0.0,0,038880,2001/2003/2015/2043/2159/2183
123010,222,0.0,8.33,0,0.0,0,123010,2001/2004/2015/2043/2159
307180,621,0.0,5.24,0,0.0,0,307180,2001/2004/2024/2072/2182
101390,770,0.0,1.29,0,0.0,0,101390,2001/2004/2015/2043/2160/2183
090740,4372,10.2,1.19,509,0.96,50,090740,2001/2004/2015/2043/2160/2183
226350,456,0.0,0.47,0,0.0,0,226350,2001/2004/2015/2043/2157
078860,2035,0.0,0.66,0,0.0,0,078860,2001/2004/2037/2183
114810,4788,0.0,1.29,0,0.0,0,114810,2001/2004/2015/2043/2160/2183
